"epoch/epoch","elated-capybara-104 - _step","elated-capybara-104 - _step__MIN","elated-capybara-104 - _step__MAX","elated-capybara-104 - epoch/accuracy","elated-capybara-104 - epoch/accuracy__MIN","elated-capybara-104 - epoch/accuracy__MAX","divine-pond-103 - _step","divine-pond-103 - _step__MIN","divine-pond-103 - _step__MAX","divine-pond-103 - epoch/accuracy","divine-pond-103 - epoch/accuracy__MIN","divine-pond-103 - epoch/accuracy__MAX","spring-sunset-102 - _step","spring-sunset-102 - _step__MIN","spring-sunset-102 - _step__MAX","spring-sunset-102 - epoch/accuracy","spring-sunset-102 - epoch/accuracy__MIN","spring-sunset-102 - epoch/accuracy__MAX","icy-cosmos-101 - _step","icy-cosmos-101 - _step__MIN","icy-cosmos-101 - _step__MAX","icy-cosmos-101 - epoch/accuracy","icy-cosmos-101 - epoch/accuracy__MIN","icy-cosmos-101 - epoch/accuracy__MAX"
"0","601","601","601","0.8817291855812073","0.8817291855812073","0.8817291855812073","601","601","601","0.8581874966621399","0.8581874966621399","0.8581874966621399","601","601","601","0.7941458225250244","0.7941458225250244","0.7941458225250244","601","601","601","0.6851041913032532","0.6851041913032532","0.6851041913032532"
"1","1202","1202","1202","0.9845208525657654","0.9845208525657654","0.9845208525657654","1202","1202","1202","0.9817500114440918","0.9817500114440918","0.9817500114440918","1202","1202","1202","0.9697916507720947","0.9697916507720947","0.9697916507720947","1202","1202","1202","0.9432083368301392","0.9432083368301392","0.9432083368301392"
"2","1803","1803","1803","0.9873124957084656","0.9873124957084656","0.9873124957084656","1803","1803","1803","0.9865208268165588","0.9865208268165588","0.9865208268165588","1803","1803","1803","0.9815208315849304","0.9815208315849304","0.9815208315849304","1803","1803","1803","0.9698125123977661","0.9698125123977661","0.9698125123977661"
"3","2404","2404","2404","0.9886666536331177","0.9886666536331177","0.9886666536331177","2404","2404","2404","0.9879166483879089","0.9879166483879089","0.9879166483879089","2404","2404","2404","0.9852083325386047","0.9852083325386047","0.9852083325386047","2404","2404","2404","0.9795416593551636","0.9795416593551636","0.9795416593551636"
"4","3005","3005","3005","0.989229142665863","0.989229142665863","0.989229142665863","3005","3005","3005","0.9887499809265137","0.9887499809265137","0.9887499809265137","3005","3005","3005","0.9870625138282776","0.9870625138282776","0.9870625138282776","3005","3005","3005","0.9849791526794434","0.9849791526794434","0.9849791526794434"
"5","3606","3606","3606","0.989270806312561","0.989270806312561","0.989270806312561","3606","3606","3606","0.989104151725769","0.989104151725769","0.989104151725769","3606","3606","3606","0.9882708191871643","0.9882708191871643","0.9882708191871643","3606","3606","3606","0.9865624904632568","0.9865624904632568","0.9865624904632568"
"6","4207","4207","4207","0.9903749823570251","0.9903749823570251","0.9903749823570251","4207","4207","4207","0.9896458387374878","0.9896458387374878","0.9896458387374878","4207","4207","4207","0.9900416731834412","0.9900416731834412","0.9900416731834412","4207","4207","4207","0.9885208606719971","0.9885208606719971","0.9885208606719971"
"7","4808","4808","4808","0.9908750057220459","0.9908750057220459","0.9908750057220459","4808","4808","4808","0.9904375076293945","0.9904375076293945","0.9904375076293945","4808","4808","4808","0.9910416603088379","0.9910416603088379","0.9910416603088379","4808","4808","4808","0.9893125295639038","0.9893125295639038","0.9893125295639038"
"8","5409","5409","5409","0.9907708168029785","0.9907708168029785","0.9907708168029785","5409","5409","5409","0.9910208582878113","0.9910208582878113","0.9910208582878113","","","","","","","5409","5409","5409","0.9907083511352539","0.9907083511352539","0.9907083511352539"
"9","6010","6010","6010","0.9916250109672546","0.9916250109672546","0.9916250109672546","","","","","","","","","","","","","6010","6010","6010","0.9902916550636292","0.9902916550636292","0.9902916550636292"