"epoch/epoch","elated-capybara-104 - _step","elated-capybara-104 - _step__MIN","elated-capybara-104 - _step__MAX","elated-capybara-104 - epoch/loss","elated-capybara-104 - epoch/loss__MIN","elated-capybara-104 - epoch/loss__MAX","divine-pond-103 - _step","divine-pond-103 - _step__MIN","divine-pond-103 - _step__MAX","divine-pond-103 - epoch/loss","divine-pond-103 - epoch/loss__MIN","divine-pond-103 - epoch/loss__MAX","spring-sunset-102 - _step","spring-sunset-102 - _step__MIN","spring-sunset-102 - _step__MAX","spring-sunset-102 - epoch/loss","spring-sunset-102 - epoch/loss__MIN","spring-sunset-102 - epoch/loss__MAX","icy-cosmos-101 - _step","icy-cosmos-101 - _step__MIN","icy-cosmos-101 - _step__MAX","icy-cosmos-101 - epoch/loss","icy-cosmos-101 - epoch/loss__MIN","icy-cosmos-101 - epoch/loss__MAX"
"0","601","601","601","1.3369920253753662","1.3369920253753662","1.3369920253753662","601","601","601","1.4141547679901123","1.4141547679901123","1.4141547679901123","601","601","601","1.618037223815918","1.618037223815918","1.618037223815918","601","601","601","1.9568188190460205","1.9568188190460205","1.9568188190460205"
"1","1202","1202","1202","0.9231563210487366","0.9231563210487366","0.9231563210487366","1202","1202","1202","0.9465188980102539","0.9465188980102539","0.9465188980102539","1202","1202","1202","0.9964131712913513","0.9964131712913513","0.9964131712913513","1202","1202","1202","1.0871707201004028","1.0871707201004028","1.0871707201004028"
"2","1803","1803","1803","0.883274257183075","0.883274257183075","0.883274257183075","1803","1803","1803","0.8997455835342407","0.8997455835342407","0.8997455835342407","1803","1803","1803","0.9301205277442932","0.9301205277442932","0.9301205277442932","1803","1803","1803","0.988331139087677","0.988331139087677","0.988331139087677"
"3","2404","2404","2404","0.8631925582885742","0.8631925582885742","0.8631925582885742","2404","2404","2404","0.8748700618743896","0.8748700618743896","0.8748700618743896","2404","2404","2404","0.8975458741188049","0.8975458741188049","0.8975458741188049","2404","2404","2404","0.9369313716888428","0.9369313716888428","0.9369313716888428"
"4","3005","3005","3005","0.85126131772995","0.85126131772995","0.85126131772995","3005","3005","3005","0.8607001304626465","0.8607001304626465","0.8607001304626465","3005","3005","3005","0.8786952495574951","0.8786952495574951","0.8786952495574951","3005","3005","3005","0.9074448943138123","0.9074448943138123","0.9074448943138123"
"5","3606","3606","3606","0.8432371616363525","0.8432371616363525","0.8432371616363525","3606","3606","3606","0.8507590293884277","0.8507590293884277","0.8507590293884277","3606","3606","3606","0.8649850487709045","0.8649850487709045","0.8649850487709045","3606","3606","3606","0.8899192810058594","0.8899192810058594","0.8899192810058594"
"6","4207","4207","4207","0.836825430393219","0.836825430393219","0.836825430393219","4207","4207","4207","0.8436599373817444","0.8436599373817444","0.8436599373817444","4207","4207","4207","0.855718195438385","0.855718195438385","0.855718195438385","4207","4207","4207","0.8784132599830627","0.8784132599830627","0.8784132599830627"
"7","4808","4808","4808","0.832434892654419","0.832434892654419","0.832434892654419","4808","4808","4808","0.839177668094635","0.839177668094635","0.839177668094635","4808","4808","4808","0.8495290279388428","0.8495290279388428","0.8495290279388428","4808","4808","4808","0.869136393070221","0.869136393070221","0.869136393070221"
"8","5409","5409","5409","0.8310161828994751","0.8310161828994751","0.8310161828994751","5409","5409","5409","0.8368833065032959","0.8368833065032959","0.8368833065032959","","","","","","","5409","5409","5409","0.8653796911239624","0.8653796911239624","0.8653796911239624"
"9","6010","6010","6010","0.8289828300476074","0.8289828300476074","0.8289828300476074","","","","","","","","","","","","","6010","6010","6010","0.8642193078994751","0.8642193078994751","0.8642193078994751"